goal,target,indicator,seriesdescription,geoareacode,geoareaname,timeperiodstart,value
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),203,Czechia,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),180,Democratic Republic of the Congo,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),14,Eastern Africa,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2019,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2020,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),753,Eastern and South-Eastern Asia,2023,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),30,Eastern Asia,2019,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),151,Eastern Europe,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),151,Eastern Europe,2020,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),151,Eastern Europe,2021,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),151,Eastern Europe,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),218,Ecuador,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),222,El Salvador,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),150,Europe,2019,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),150,Europe,2020,5
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),150,Europe,2021,8
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),150,Europe,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),150,Europe,2023,5
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),513,Europe and Northern America,2019,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),513,Europe and Northern America,2020,5
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),513,Europe and Northern America,2021,8
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),513,Europe and Northern America,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),513,Europe and Northern America,2023,6
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),246,Finland,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),250,France,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),276,Germany,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),320,Guatemala,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),340,Honduras,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),348,Hungary,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),356,India,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),360,Indonesia,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),400,Jordan,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),432,Landlocked developing countries (LLDCs),2019,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),432,Landlocked developing countries (LLDCs),2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),432,Landlocked developing countries (LLDCs),2023,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),418,Lao People's Democratic Republic,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),419,Latin America and the Caribbean,2019,5
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),419,Latin America and the Caribbean,2020,6
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),419,Latin America and the Caribbean,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),419,Latin America and the Caribbean,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),428,Latvia,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),199,Least Developed Countries (LDCs),2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),199,Least Developed Countries (LDCs),2021,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),199,Least Developed Countries (LDCs),2023,4
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),440,Lithuania,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),462,Maldives,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),484,Mexico,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),17,Middle Africa,2021,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),496,Mongolia,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),504,Morocco,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),508,Mozambique,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),528,Netherlands (Kingdom of the),2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),562,Niger,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),15,Northern Africa,2021,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),747,Northern Africa and Western Asia,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),747,Northern Africa and Western Asia,2021,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),747,Northern Africa and Western Asia,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),21,Northern America,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),154,Northern Europe,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),154,Northern Europe,2020,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),154,Northern Europe,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),154,Northern Europe,2023,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),578,Norway,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),9,Oceania,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),586,Pakistan,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),604,Peru,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),608,Philippines,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),616,Poland,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),410,Republic of Korea,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),642,Romania,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),662,Saint Lucia,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),686,Senegal,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),688,Serbia,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),702,Singapore,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),703,Slovakia,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),705,Slovenia,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),722,Small island developing States (SIDS),2019,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),722,Small island developing States (SIDS),2020,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),710,South Africa,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),5,South America,2019,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),5,South America,2020,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),5,South America,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),35,South-Eastern Asia,2020,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),35,South-Eastern Asia,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),35,South-Eastern Asia,2023,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),18,Southern Africa,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),34,Southern Asia,2019,4
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),34,Southern Asia,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),39,Southern Europe,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),39,Southern Europe,2021,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),39,Southern Europe,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),144,Sri Lanka,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),202,Sub-Saharan Africa,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),202,Sub-Saharan Africa,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),202,Sub-Saharan Africa,2021,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),202,Sub-Saharan Africa,2023,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),752,Sweden,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),756,Switzerland,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),764,Thailand,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),788,Tunisia,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),792,Türkiye,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),804,Ukraine,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),784,United Arab Emirates,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),826,United Kingdom of Great Britain and Northern Ireland,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),840,United States of America,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),11,Western Africa,2019,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),11,Western Africa,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),11,Western Africa,2023,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),145,Western Asia,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),145,Western Asia,2021,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),145,Western Asia,2022,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),155,Western Europe,2020,1
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),155,Western Europe,2021,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),155,Western Europe,2023,2
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),1,World,2019,16
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),1,World,2020,15
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),1,World,2021,16
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),1,World,2022,3
['12'],['12.1'],['12.1.1'],Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO),1,World,2023,13
