Goal;Target;Indicator;SeriesCode;SeriesDescription;GeoAreaCode;GeoAreaName;Sex;Units;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);36;Australia;BOTHSEX;PER_100000_EMP;2;2.6;2.4;2.3;2.1;2;2.1;2;2.1;2.65;1.96;2;2.01;1.71;1.61;1.65;;1.62;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);36;Australia;FEMALE;PER_100000_EMP;0;0.4;0.3;0.4;0.3;0.3;0.3;0.5;0.3;0.44;0.24;0.33;0.23;0.31;0.23;0.15;;0.26;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);36;Australia;MALE;PER_100000_EMP;4;4.5;4.3;4;3.6;3.6;3.7;3.5;3.8;4.5;3.39;3.37;3.5;2.92;2.81;2.92;;2.78;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;BOTHSEX;PER_100000_EMP;5.3;4.5;4.7;3.8;5;4.6;3.9;3.9;4.1;4.83;4.47;3.03;3.44;3.45;3.09;3.23;2;2.53;2.87;2.49;2.36;2.86;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;FEMALE;PER_100000_EMP;;;;;0.3;0.7;0.4;0.2;0.5;0.75;0.47;0.35;0.62;0.46;0.67;0.51;0.1;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;MALE;PER_100000_EMP;;;;;8.7;7.9;6.8;6.9;6.9;8.06;7.92;5.17;5.89;6.07;5.24;5.65;3.5;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;BOTHSEX;PER_100000_EMP;;;;;;;;;;6.86;4.21;2.36;3.59;5.98;4.73;4.02;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;FEMALE;PER_100000_EMP;;;;;;;;;;2.72;1.9;0;0;1.47;1.33;0;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;MALE;PER_100000_EMP;;;;;;;;;;10.41;6.47;4.49;7.14;10.63;8.22;7.76;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;BOTHSEX;PER_100000_EMP;;;;;;;;;;7.59;6.01;3.77;4.38;3.55;2.24;0.86;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;FEMALE;PER_100000_EMP;;;;;;;;;;0;0;2.41;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;MALE;PER_100000_EMP;;;;;;;;;;12.61;10.27;4.61;7.37;6;3.92;1.51;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;BOTHSEX;PER_100000_EMP;;;;;;;;;;4.43;4.39;3.03;3.38;3.26;3.01;3.31;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;FEMALE;PER_100000_EMP;;;;;;;;;;0.53;0.41;0.26;0.7;0.41;0.65;0.59;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);40;Austria;MALE;PER_100000_EMP;;;;;;;;;;7.54;7.85;5.25;5.71;5.77;5.1;5.76;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);31;Azerbaijan;BOTHSEX;PER_100000_EMP;4;3;6;6;8;6;8;13;7;;;;;;;;4;4;3;4;3;3;2;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);31;Azerbaijan;FEMALE;PER_100000_EMP;;0;0;0.3;0;1;1;0.4;0;;;;;;;;1;1;1;2;;1;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);31;Azerbaijan;MALE;PER_100000_EMP;;5;10;11;16;11;15;24;14;;;;;;;;6;6;5;5;;5;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);48;Bahrain;BOTHSEX;PER_100000_EMP;10;5.9;7.5;10;5;10;8;7;5;;;;;;;;;;;;0.59;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);48;Bahrain;FEMALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);48;Bahrain;MALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;;;;0.68;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);48;Bahrain;BOTHSEX;PER_100000_EMP;;;;;;;;;;;;;;;;;;;;;0.48;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);48;Bahrain;FEMALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);48;Bahrain;MALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;;;;0.53;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);48;Bahrain;BOTHSEX;PER_100000_EMP;;;;;;;;;;;;;;;;;;;;;1.08;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);48;Bahrain;FEMALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);48;Bahrain;MALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;;;;1.67;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);52;Barbados;BOTHSEX;PER_100000_EMP;;;;;;;;;;;;;;;;;0.75;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);112;Belarus;BOTHSEX;PER_100000_EMP;6.4;5.8;5.9;5.6;6.4;6.1;5.8;5.4;5.1;4.9;5.1;4.4;3.9;3.8;3;2;2.27;2.2;2.82;2.87;3.07;2.55;3.39;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);112;Belarus;FEMALE;PER_100000_EMP;1.3;0.6;0.9;1;0.7;0.8;0.5;0.6;0.7;1;0.5;0.6;0.2;0.7;0.5;0.1;0.44;;0.4;0.52;;0.23;0.54;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);112;Belarus;MALE;PER_100000_EMP;12;11.5;11.4;10.7;12.7;11.8;11.5;10.6;10.2;9.1;10.1;8.5;8.1;7.3;5.7;4.2;4.31;;5.5;5.49;;5.13;6.65;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;BOTHSEX;PER_100000_EMP;3.9;3.09;;;;;;;;2.12;2.22;2.84;1.78;2.46;1.56;1.63;1.8;1.68;1.91;1.27;0.12;0;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;FEMALE;PER_100000_EMP;;;;;;;;;;0.15;0.36;0.17;0;0.16;0.12;0.09;;;;;0;0;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;MALE;PER_100000_EMP;;;;;;;;;;3.54;3.59;4.99;3.26;4.34;2.86;2.96;;;;;0.29;0;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;BOTHSEX;PER_100000_EMP;;;;;;;;;;2.03;1.91;6.29;3.41;3.31;3.32;0.6;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;FEMALE;PER_100000_EMP;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;MALE;PER_100000_EMP;;;;;;;;;;3.28;3.22;11.16;6.26;5.81;6.14;1.09;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;BOTHSEX;PER_100000_EMP;;;;;;;;;;2.94;2.93;7.57;5.99;3.05;4.64;3.78;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;FEMALE;PER_100000_EMP;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;MALE;PER_100000_EMP;;;;;;;;;;4.3;4.38;11.51;9.53;4.82;7.73;6.37;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;BOTHSEX;PER_100000_EMP;;;;;;;;;;2.04;2.23;2.39;1.56;2.3;1.33;1.64;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;FEMALE;PER_100000_EMP;;;;;;;;;;0.16;0.39;0.18;0;0.18;0.14;0.1;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);56;Belgium;MALE;PER_100000_EMP;;;;;;;;;;3.42;3.6;4.19;2.86;4.07;2.44;3;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);84;Belize;BOTHSEX;PER_100000_EMP;;;;;;;;;;;;4.5;6.7;;;;;0.94;0.92;5.39;2.85;0.93;5.19;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);84;Belize;FEMALE;PER_100000_EMP;;;;;;;;;;;;0;0;;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);84;Belize;MALE;PER_100000_EMP;;;;;;;;;;;;7.3;10.7;;;;;1.54;1.51;8.94;4.72;1.55;8.86;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);84;Belize;BOTHSEX;PER_100000_EMP;;;;;;;;;;;;;;;;;;5.57;5.57;33.85;12.36;6.76;0;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);84;Belize;FEMALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);84;Belize;MALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;8.17;8.21;50.54;18.51;10.18;0;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);84;Belize;BOTHSEX;PER_100000_EMP;;;;;;;;;;;;;;;;;;0;0;0;1.12;0;5.93;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);84;Belize;FEMALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);84;Belize;MALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;0;0;0;1.9;0;10.28;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);76;Brazil;BOTHSEX;PER_100000_EMP;11.53;;;;;;;;;;;7.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);76;Brazil;FEMALE;PER_100000_EMP;;;;;;;;;;;;1.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);76;Brazil;MALE;PER_100000_EMP;;;;;;;;;;;;11.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);100;Bulgaria;BOTHSEX;PER_100000_EMP;7.3;7.3;6;5.2;6;5.8;7.2;7.1;6.4;3.26;3.6;3.63;3.82;3.39;4.45;3.57;3;3.4;3.14;3.37;3.68;2.85;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);100;Bulgaria;FEMALE;PER_100000_EMP;;;;1.3;0.9;0.9;2.2;2.1;1.6;0.38;0.7;0.31;0.62;0.61;0.46;0.53;0.15;0.44;0.29;0.08;0.34;0.08;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);100;Bulgaria;MALE;PER_100000_EMP;;;;9.3;11.2;10.8;12.1;12;10.9;6.09;6.5;7;7.03;6.19;8.45;6.61;5.85;6.34;6.11;6.7;6.97;5.62;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);100;Bulgaria;BOTHSEX;PER_100000_EMP;;;;;;;;;;0;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);100;Bulgaria;BOTHSEX;PER_100000_EMP;;;;;;;;;;3.27;3.52;3.64;3.82;3.32;4.45;3.58;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);100;Bulgaria;FEMALE;PER_100000_EMP;;;;;;;;;;0.38;0.7;0.31;0.62;0.61;0.46;0.53;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);100;Bulgaria;MALE;PER_100000_EMP;;;;;;;;;;6.1;6.36;7;7.03;6.04;8.46;6.62;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);854;Burkina Faso;BOTHSEX;PER_100000_EMP;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);108;Burundi;BOTHSEX;PER_100000_EMP;;;;;;;;;;;;;;;;;;;13.84;14.91;11.31;13.84;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);108;Burundi;FEMALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;;0.53;0.5;0.47;0.45;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);108;Burundi;MALE;PER_100000_EMP;;;;;;;;;;;;;;;;;;;13.3;14.42;10.84;5.42;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);124;Canada;BOTHSEX;PER_100000_EMP;3.4;3.3;3.2;2.9;2.9;3;2.7;2.3;2.7;2.12;2.24;2.09;;2.04;2;1.72;1.76;1.81;1.93;4.87;5.13;5.71;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);124;Canada;FEMALE;PER_100000_EMP;0.3;0.4;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.25;0.26;0.27;;0.4;0.3;;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);124;Canada;MALE;PER_100000_EMP;6;6;6;5;5;5;5;4;5;3.84;4.04;3.7;;3.53;3.5;;;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);152;Chile;BOTHSEX;PER_100000_EMP;11.97;10.21;11.39;11.56;9.28;;;;;6.9;;5.5;6;5.12;;;;3.41;3.06;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);152;Chile;FEMALE;PER_100000_EMP;;;;;;;;;;1.2;;;;;;;;0.36;0.54;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);152;Chile;MALE;PER_100000_EMP;;;;;;;;;;10.4;;;;;;;;5.31;4.64;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);344;China, Hong Kong Special Administrative Region;BOTHSEX;PER_100000_EMP;8;7.1;8.6;7.2;7.7;7.5;7.3;6.6;6.8;6;7;7;7;7;7;6;6.78;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);446;China, Macao Special Administrative Region;BOTHSEX;PER_100000_EMP;;;;;;;2.25;4.78;4.1;2.24;3.49;3.36;5.24;4.99;3.09;5.04;6.93;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);446;China, Macao Special Administrative Region;FEMALE;PER_100000_EMP;;;;;;;0.8;0.73;0.67;1.31;0.64;0;1.8;2.83;0.54;2.66;1.59;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);446;China, Macao Special Administrative Region;MALE;PER_100000_EMP;;;;;;;3.52;8.3;7.15;3.14;6.27;6.63;8.49;7.05;5.41;7.19;11.93;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);446;China, Macao Special Administrative Region;BOTHSEX;PER_100000_EMP;;;;;;;;9.39;3.26;2.67;2.64;5.32;4.52;5.08;4.7;5.51;5.07;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);446;China, Macao Special Administrative Region;FEMALE;PER_100000_EMP;;;;;;;;0;0;2.67;0;0;1.93;6.62;1.48;5.39;1.31;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);446;China, Macao Special Administrative Region;MALE;PER_100000_EMP;;;;;;;;16;5.96;2.67;5.36;10.06;6.8;3.88;6.81;5.58;7.9;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);446;China, Macao Special Administrative Region;BOTHSEX;PER_100000_EMP;;;;;;;;;4.26;2.07;3.58;2.32;4.93;4.07;1.45;3.59;6.5;;;;;;;;;;;;;;;;;;;;;;;
8;8.8;8.8.1;SL_EMP_FTLINJUR;Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees);446;China, Macao Special Administrative Region;FEMALE;PER_100000_EMP;;;;;;;;;;;;;1.56;0.75;0;0.72;1.46;;;;;;;;;;;;;;;;;;;;;;;
